ID,Group,Trt,FeatherScore,TIDate,TIOrder,Inductions,HeadMove,TIDuration,NADate,NAOrder,Move,Vocal,Pecks,Jumps,Defecate
1R3,1,1A,2,6/13/18,1,1,23,600,6/15/18,2,600,600,0,0,0
1R2,1,1A,2,6/13/18,2,1,85,600,6/15/18,1,415,322,1,0,1
1L1,1,1A,1,6/15/18,1,1,10,27,6/13/18,1,264,196,2,0,0
1R1,2,1A,1,6/28/18,1,2,44,600,6/26/18,1,600,600,3,0,0
1L4,2,1A,2,6/28/18,2,1,103,390,6/26/18,2,380,600,2,0,0
1L3,2,1A,1,6/26/18,1,1,28,100,6/28/18,1,600,600,0,0,1
2R3,1,8,2,6/15/18,3,1,26,168,6/13/18,3,200,98,54,0,1
2R4,1,8,3,6/13/18,3,1,72,389,6/15/18,3,600,572,0,0,0
2L4,1,8,2,6/15/18,2,1,45,600,6/13/18,2,196,600,0,0,0
2R2,2,8,1,6/26/18,2,1,163,600,6/28/18,2,245,258,22,0,0
2L2,2,8,3,6/28/18,3,2,125,600,6/26/18,3,600,190,0,0,0
2L1,2,8,2,6/26/18,3,1,94,600,6/28/18,3,68,54,60,0,0
3R1,1,9,3,6/13/18,5,1,104,195,6/15/18,5,600,600,0,0,1
3R2,1,9,1,6/13/18,4,2,84,126,6/15/18,4,483,600,0,0,0
3L3,1,9,3,6/15/18,4,1,9,249,6/13/18,4,600,22,2,0,1
3R4,2,9,1,6/28/18,4,1,79,600,6/26/18,4,97,60,3,0,2
3L2,2,9,2,6/28/18,5,2,38,600,6/26/18,5,243,1,4,0,0
3L4,2,9,2,6/26/18,4,1,72,600,6/28/18,4,600,600,0,0,0
4R2,1,10,1,6/15/18,5,2,61,520,6/13/18,5,208,10,1,0,1
4L2,1,10,3,6/13/18,6,1,4,600,6/15/18,6,132,114,14,0,1
4L1,1,10,3,6/15/18,6,1,98,458,6/13/18,6,206,26,13,0,0
4L3,2,10,4,6/26/18,6,1,45,600,6/28/18,6,600,46,9,0,0
4R1,2,10,3,6/26/18,5,1,81,402,6/28/18,5,600,600,0,0,0
4R3,2,10,2,6/28/18,6,2,89,290,6/26/18,6,3,484,3,0,1
6R4,1,12,3,6/13/18,7,1,145,157,6/15/18,7,219,19,13,0,1
6L3,1,12,2,6/13/18,8,1,30,600,6/15/18,8,220,288,5,0,1
6L1,1,12,4,6/15/18,7,2,21,575,6/13/18,7,73,55,7,3,1
6R1,2,12,4,6/28/18,7,1,36,276,6/26/18,7,74,1,8,0,1
6R2,2,12,1,6/28/18,8,2,109,600,6/26/18,8,32,239,18,0,0
6R3,2,12,1,6/26/18,7,2,392,600,6/28/18,7,110,600,25,0,0
7R4,1,Control,2,6/15/18,8,1,85,600,6/13/18,8,600,3,4,0,0
7L2,1,Control,2,6/13/18,9,1,4,105,6/15/18,9,118,130,4,0,0
7L1,1,Control,1,6/15/18,9,2,17,575,6/13/18,9,409,600,9,1,1
7R3,2,Control,1,6/26/18,8,2,57,245,6/28/18,8,600,600,0,0,0
7L3,2,Control,1,6/28/18,9,1,101,375,6/26/18,9,4,76,10,0,2
7L4,2,Control,2,6/26/18,9,2,17,373,6/28/18,9,237,458,3,0,1
8R2,1,13,4,6/15/18,10,2,26,154,6/13/18,10,44,600,0,1,0
8R1,1,13,1,6/13/18,10,2,120,400,6/15/18,10,323,151,25,0,0
8L4,1,13,1,6/13/18,11,1,110,600,6/15/18,11,600,24,0,0,0
8L1,2,13,2,6/28/18,11,1,26,315,6/26/18,10,166,68,8,1,1
8L2,2,13,2,6/28/18,10,1,51,600,6/26/18,11,600,600,0,0,0
8L3,2,13,1,6/26/18,10,2,39,295,6/28/18,10,34,469,4,0,0
